abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,classfication,japanese_name,name,pokedex_number,base_total,hp,attack,defense,special_attack,special_defense,speed,type1,type2
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Cocoon Pokémon,Transelトランセル,Metapod,11,205,50,20,55,25,25,30,bug,
"['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,Butterfly Pokémon,Butterfreeバタフリー,Butterfree,12,395,60,45,50,90,80,70,bug,flying
"['Shield Dust', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,Hairy Pokémon,Beedleビードル,Weedle,13,195,40,35,30,20,20,50,bug,poison
['Shed Skin'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,Cocoon Pokémon,Cocoonコクーン,Kakuna,14,205,45,25,50,25,25,35,bug,poison
"['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,Poison Bee Pokémon,Spearスピアー,Beedrill,15,495,65,150,40,15,80,145,bug,poison
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Tiny Bird Pokémon,Poppoポッポ,Pidgey,16,251,40,45,40,35,35,56,normal,flying
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Bird Pokémon,Pigeonピジョン,Pidgeotto,17,349,63,60,55,50,50,71,normal,flying
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Bird Pokémon,Pigeotピジョット,Pidgeot,18,579,83,80,80,135,80,121,normal,flying
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Mouse Pokémon,Korattaコラッタ,Rattata,19,253,30,56,35,25,35,72,normal,dark
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Mouse Pokémon,Rattaラッタ,Raticate,20,413,75,71,70,40,80,77,normal,dark
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Tiny Bird Pokémon,Onisuzumeオニスズメ,Spearow,21,262,40,60,30,31,31,70,normal,flying
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Beak Pokémon,Onidrillオニドリル,Fearow,22,442,65,90,65,61,61,100,normal,flying
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Snake Pokémon,Arboアーボ,Ekans,23,288,35,60,44,40,54,55,poison,
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Cobra Pokémon,Arbokアーボック,Arbok,24,448,60,95,69,65,79,80,poison,
"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Mouse Pokémon,Pikachuピカチュウ,Pikachu,25,320,35,55,40,50,50,90,electric,
"['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Mouse Pokémon,Raichuライチュウ,Raichu,26,485,60,85,50,95,85,110,electric,electric
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Mouse Pokémon,Sandサンド,Sandshrew,27,300,50,75,90,10,35,40,ground,ice
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Mouse Pokémon,Sandpanサンドパン,Sandslash,28,450,75,100,120,25,65,65,ground,ice
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Poison Pin Pokémon,Nidoran?ニドラン♀,Nidoran♀,29,275,55,47,52,40,40,41,poison,
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Poison Pin Pokémon,Nidorinaニドリーナ,Nidorina,30,365,70,62,67,55,55,56,poison,
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,Drill Pokémon,Nidoqueenニドクイン,Nidoqueen,31,505,90,92,87,75,85,76,poison,ground
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Poison Pin Pokémon,Nidoran?ニドラン♂,Nidoran♂,32,273,46,57,40,40,40,50,poison,
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Poison Pin Pokémon,Nidorinoニドリーノ,Nidorino,33,365,61,72,57,55,55,65,poison,
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,Drill Pokémon,Nidokingニドキング,Nidoking,34,505,81,102,77,85,75,85,poison,ground
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,Fairy Pokémon,Pippiピッピ,Clefairy,35,323,70,45,48,60,65,35,fairy,
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,Fairy Pokémon,Pixyピクシー,Clefable,36,483,95,70,73,95,90,60,fairy,
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Fox Pokémon,Rokonロコン,Vulpix,37,299,38,41,40,50,65,65,fire,ice
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Fox Pokémon,Kyukonキュウコン,Ninetales,38,505,73,67,75,81,100,109,fire,ice
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,Balloon Pokémon,Purinプリン,Jigglypuff,39,270,115,45,20,45,25,20,normal,fairy
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,Balloon Pokémon,Pukurinプクリン,Wigglytuff,40,435,140,70,45,85,50,45,normal,fairy
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,Bat Pokémon,Zubatズバット,Zubat,41,245,40,45,35,30,40,55,poison,flying
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,Bat Pokémon,Golbatゴルバット,Golbat,42,455,75,80,70,65,75,90,poison,flying
"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Weed Pokémon,Nazonokusaナゾノクサ,Oddish,43,320,45,50,55,75,65,30,grass,poison
"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Weed Pokémon,Kusaihanaクサイハナ,Gloom,44,395,60,65,70,85,75,40,grass,poison
"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Flower Pokémon,Ruffresiaラフレシア,Vileplume,45,490,75,80,85,110,90,50,grass,poison
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,Mushroom Pokémon,Parasパラス,Paras,46,285,35,70,55,45,55,25,bug,grass
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,Mushroom Pokémon,Parasectパラセクト,Parasect,47,405,60,95,80,60,80,30,bug,grass
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,Insect Pokémon,Kongpangコンパン,Venonat,48,305,60,55,50,40,55,45,bug,poison
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,Poison Moth Pokémon,Morphonモルフォン,Venomoth,49,450,70,65,60,90,75,90,bug,poison
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Mole Pokémon,Digdaディグダ,Diglett,50,265,10,55,30,35,45,90,ground,ground
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Mole Pokémon,Dugtrioダグトリオ,Dugtrio,51,425,35,100,60,50,70,110,ground,ground
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Scratch Cat Pokémon,Nyarthニャース,Meowth,52,290,40,35,35,50,40,90,normal,dark
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Classy Cat Pokémon,Persianペルシアン,Persian,53,440,65,60,60,75,65,115,normal,dark
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Duck Pokémon,Koduckコダック,Psyduck,54,320,50,52,48,65,50,55,water,
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Duck Pokémon,Golduckゴルダック,Golduck,55,500,80,82,78,95,80,85,water,
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Pig Monkey Pokémon,Mankeyマンキー,Mankey,56,305,40,80,35,35,45,70,fighting,
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Pig Monkey Pokémon,Okorizaruオコリザル,Primeape,57,455,65,105,60,60,70,95,fighting,
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Puppy Pokémon,Gardieガーディ,Growlithe,58,350,55,70,45,70,50,60,fire,
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Legendary Pokémon,Windieウインディ,Arcanine,59,555,90,110,80,100,80,95,fire,
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Tadpole Pokémon,Nyoromoニョロモ,Poliwag,60,300,40,50,40,40,40,90,water,
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Tadpole Pokémon,Nyorozoニョロゾ,Poliwhirl,61,385,65,65,65,50,50,90,water,
"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,Tadpole Pokémon,Nyorobonニョロボン,Poliwrath,62,510,90,95,95,70,90,70,water,fighting
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Psi Pokémon,Caseyケーシィ,Abra,63,310,25,20,15,105,55,90,psychic,
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Psi Pokémon,Yungererユンゲラー,Kadabra,64,400,40,35,30,120,70,105,psychic,
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Psi Pokémon,Foodinフーディン,Alakazam,65,600,55,50,65,175,105,150,psychic,
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Superpower Pokémon,Wanrikyワンリキー,Machop,66,305,70,80,50,35,35,35,fighting,
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Superpower Pokémon,Gorikyゴーリキー,Machoke,67,405,80,100,70,50,60,45,fighting,
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Superpower Pokémon,Kairikyカイリキー,Machamp,68,505,90,130,80,65,85,55,fighting,
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Flower Pokémon,Madatsubomiマダツボミ,Bellsprout,69,300,50,75,35,70,30,40,grass,poison
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Flycatcher Pokémon,Utsudonウツドン,Weepinbell,70,390,65,90,50,85,45,55,grass,poison
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Flycatcher Pokémon,Utsubotウツボット,Victreebel,71,490,80,105,65,100,70,70,grass,poison
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,Jellyfish Pokémon,Menokurageメノクラゲ,Tentacool,72,335,40,40,35,50,100,70,water,poison
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,Jellyfish Pokémon,Dokukurageドククラゲ,Tentacruel,73,515,80,70,65,80,120,100,water,poison
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,Rock Pokémon,Isitsubuteイシツブテ,Geodude,74,300,40,80,100,30,30,20,rock,ground
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,Rock Pokémon,Goloneゴローン,Graveler,75,390,55,95,115,45,45,35,rock,ground
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,Megaton Pokémon,Golonyaゴローニャ,Golem,76,495,80,120,130,55,65,45,rock,ground
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Fire Horse Pokémon,Ponytaポニータ,Ponyta,77,410,50,85,55,65,65,90,fire,
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Fire Horse Pokémon,Gallopギャロップ,Rapidash,78,500,65,100,70,80,80,105,fire,
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,Dopey Pokémon,Yadonヤドン,Slowpoke,79,315,90,65,65,40,40,15,water,psychic
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,Hermit Crab Pokémon,Yadoranヤドラン,Slowbro,80,590,95,75,180,130,80,30,water,psychic
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,Magnet Pokémon,Coilコイル,Magnemite,81,325,25,35,70,95,55,45,electric,steel
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,Magnet Pokémon,Rarecoilレアコイル,Magneton,82,465,50,60,95,120,70,70,electric,steel
"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Wild Duck Pokémon,Kamonegiカモネギ,Farfetch'd,83,377,52,90,55,58,62,60,normal,flying
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Twin Bird Pokémon,Dodoドードー,Doduo,84,310,35,85,45,35,35,75,normal,flying
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Triple Bird Pokémon,Dodorioドードリオ,Dodrio,85,470,60,110,70,60,60,110,normal,flying
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Sea Lion Pokémon,Pawouパウワウ,Seel,86,325,65,45,55,45,70,45,water,
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,Sea Lion Pokémon,Jugonジュゴン,Dewgong,87,475,90,70,80,70,95,70,water,ice
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Sludge Pokémon,Betbeterベトベター,Grimer,88,325,80,80,50,40,50,25,poison,poison
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Sludge Pokémon,Betbetonベトベトン,Muk,89,500,105,105,75,65,100,50,poison,poison
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Bivalve Pokémon,Shellderシェルダー,Shellder,90,305,30,65,100,45,25,40,water,
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,Bivalve Pokémon,Parshenパルシェン,Cloyster,91,525,50,95,180,85,45,70,water,ice
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,Gas Pokémon,Ghosゴース,Gastly,92,310,30,35,30,100,35,80,ghost,poison
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,Gas Pokémon,Ghostゴースト,Haunter,93,405,45,50,45,115,55,95,ghost,poison
['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,Shadow Pokémon,Gangarゲンガー,Gengar,94,600,60,65,80,170,95,130,ghost,poison
"['Rock Head', 'Sturdy', 'Weak Armor']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,Rock Snake Pokémon,Iwarkイワーク,Onix,95,385,35,45,160,30,45,70,rock,ground
"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Hypnosis Pokémon,Sleepeスリープ,Drowzee,96,328,60,48,45,43,90,42,psychic,
"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Hypnosis Pokémon,Sleeperスリーパー,Hypno,97,483,85,73,70,73,115,67,psychic,
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,River Crab Pokémon,Crabクラブ,Krabby,98,325,30,105,90,25,25,50,water,
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Pincer Pokémon,Kinglerキングラー,Kingler,99,475,55,130,115,50,50,75,water,
"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Ball Pokémon,Biriridamaビリリダマ,Voltorb,100,330,40,30,50,55,55,100,electric,
"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Ball Pokémon,Marumineマルマイン,Electrode,101,490,60,50,70,80,80,150,electric,
"['Chlorophyll', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,Egg Pokémon,Tamatamaタマタマ,Exeggcute,102,325,60,40,80,60,45,40,grass,psychic
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,Coconut Pokémon,Nassyナッシー,Exeggutor,103,530,95,105,85,125,75,45,grass,psychic
"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Lonely Pokémon,Karakaraカラカラ,Cubone,104,320,50,50,95,40,50,35,ground,
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Bone Keeper Pokémon,Garagaraガラガラ,Marowak,105,425,60,80,110,50,80,45,ground,fire
"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Kicking Pokémon,Sawamularサワムラー,Hitmonlee,106,455,50,120,53,35,110,87,fighting,
"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Punching Pokémon,Ebiwalarエビワラー,Hitmonchan,107,455,50,105,79,35,110,76,fighting,
"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Licking Pokémon,Beroringaベロリンガ,Lickitung,108,385,90,55,75,60,75,30,normal,
['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Poison Gas Pokémon,Dogarsドガース,Koffing,109,340,40,65,95,60,45,35,poison,
['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,Poison Gas Pokémon,Matadogasマタドガス,Weezing,110,490,65,90,120,85,70,60,poison,
"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,Spikes Pokémon,Sihornサイホーン,Rhyhorn,111,345,80,85,95,30,30,25,ground,rock
"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,Drill Pokémon,Sidonサイドン,Rhydon,112,485,105,130,120,45,45,40,ground,rock
"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Egg Pokémon,Luckyラッキー,Chansey,113,450,250,5,5,35,105,50,normal,
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Vine Pokémon,Monjaraモンジャラ,Tangela,114,435,65,55,115,100,40,60,grass,
"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Parent Pokémon,Garuraガルーラ,Kangaskhan,115,590,105,125,100,60,100,100,normal,
"['Swift Swim', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Dragon Pokémon,Tattuタッツー,Horsea,116,295,30,40,70,70,25,60,water,
